c1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
5	500	2	7	3	5	100	1	2	5	10	10	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
1	35	282	30	681	1031	5	1	1	300	
1	35	282	30	185	540	5	2	0	300	
1	35	282	30	288	653	5	3	1	300	
1	35	282	30	742	1181	5	4	0	300	
2	28	144	20	563	1016	5	1	1	300	
2	28	144	20	349	612	5	2	0	300	
2	28	144	20	587	860	5	3	1	300	
2	28	144	20	129	472	5	4	0	300	
3	216	25	30	689	1120	5	1	1	300	
3	216	25	30	429	777	5	2	0	300	
3	216	25	30	206	673	5	3	1	300	
3	216	25	30	327	696	5	4	1	300	
4	183	97	40	312	759	5	1	1	300	
4	183	97	40	746	1197	5	2	1	300	
4	183	97	40	429	897	5	3	0	300	
4	183	97	40	314	569	5	4	1	300	
5	30	279	20	328	587	5	1	0	300	
5	30	279	20	172	425	5	2	1	300	
5	30	279	20	841	1296	5	3	1	300	
5	30	279	20	465	925	5	4	0	300	
6	148	62	20	694	1044	5	1	1	300	
6	148	62	20	764	1048	5	2	0	300	
6	148	62	20	82	554	5	3	1	300	
6	148	62	20	575	942	5	4	1	300	
7	140	100	20	472	841	5	1	0	300	
7	140	100	20	735	1097	5	2	1	300	
7	140	100	20	484	947	5	3	0	300	
7	140	100	20	712	1072	5	4	1	300	
8	227	218	20	880	1245	5	1	1	300	
8	227	218	20	683	1048	5	2	1	300	
8	227	218	20	190	644	5	3	0	300	
8	227	218	20	193	660	5	4	1	300	
9	31	284	10	700	1059	5	1	1	300	
9	31	284	10	391	772	5	2	0	300	
9	31	284	10	793	1047	5	3	1	300	
9	31	284	10	551	1018	5	4	1	300	
10	255	57	10	204	657	5	1	0	300	
10	255	57	10	658	1010	5	2	1	300	
10	255	57	10	809	1065	5	3	1	300	
10	255	57	10	217	563	5	4	1	300	
11	85	228	30	0	1496	5	1	1	0	
11	85	228	30	0	1496	5	2	1	0	
11	85	228	30	0	1496	5	3	1	0	
11	85	228	30	0	1496	5	4	1	0	
12	122	259	20	0	1496	5	1	1	0	
12	122	259	20	0	1496	5	2	1	0	
12	122	259	20	0	1496	5	3	1	0	
12	122	259	20	0	1496	5	4	1	0	
13	201	127	10	0	1496	5	1	1	0	
13	201	127	10	0	1496	5	2	1	0	
13	201	127	10	0	1496	5	3	1	0	
13	201	127	10	0	1496	5	4	1	0	
14	168	96	50	0	1496	5	1	1	0	
14	168	96	50	0	1496	5	2	1	0	
14	168	96	50	0	1496	5	3	1	0	
14	168	96	50	0	1496	5	4	1	0	
15	162	107	20	0	1496	5	1	1	0	
15	162	107	20	0	1496	5	2	1	0	
15	162	107	20	0	1496	5	3	1	0	
15	162	107	20	0	1496	5	4	1	0	
16	174	13	20	0	1496	5	1	1	0	
16	174	13	20	0	1496	5	2	1	0	
16	174	13	20	0	1496	5	3	1	0	
16	174	13	20	0	1496	5	4	1	0	
17	258	247	70	0	1496	5	1	1	0	
17	258	247	70	0	1496	5	2	1	0	
17	258	247	70	0	1496	5	3	1	0	
17	258	247	70	0	1496	5	4	1	0	
18	270	37	70	0	1496	5	1	1	0	
18	270	37	70	0	1496	5	2	1	0	
18	270	37	70	0	1496	5	3	1	0	
18	270	37	70	0	1496	5	4	1	0	
19	233	245	20	0	1496	5	1	1	0	
19	233	245	20	0	1496	5	2	1	0	
19	233	245	20	0	1496	5	3	1	0	
19	233	245	20	0	1496	5	4	1	0	
20	177	82	50	0	1496	5	1	1	0	
20	177	82	50	0	1496	5	2	1	0	
20	177	82	50	0	1496	5	3	1	0	
20	177	82	50	0	1496	5	4	1	0	
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
