c1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
4	500	2	7	3	4	100	1	2	5	8	8	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
1	280	172	10	563	1039	5	1	1	300	
1	280	172	10	243	699	5	2	0	300	
1	280	172	10	756	1013	5	3	1	300	
1	280	172	10	296	548	5	4	0	300	
2	222	83	20	98	358	5	1	1	300	
2	222	83	20	283	747	5	2	0	300	
2	222	83	20	837	1320	5	3	1	300	
2	222	83	20	671	928	5	4	0	300	
3	109	105	10	862	1127	5	1	1	300	
3	109	105	10	843	1094	5	2	0	300	
3	109	105	10	261	752	5	3	1	300	
3	109	105	10	836	1290	5	4	1	300	
4	93	235	20	819	1269	5	1	1	300	
4	93	235	20	803	1151	5	2	1	300	
4	93	235	20	723	1192	5	3	0	300	
4	93	235	20	492	958	5	4	1	300	
5	179	97	10	218	664	5	1	1	300	
5	179	97	10	105	377	5	2	1	300	
5	179	97	10	594	1047	5	3	1	300	
5	179	97	10	447	808	5	4	1	300	
6	51	238	20	741	1202	5	1	1	300	
6	51	238	20	664	1020	5	2	1	300	
6	51	238	20	342	787	5	3	1	300	
6	51	238	20	663	1021	5	4	0	300	
7	136	104	20	759	1208	5	1	1	300	
7	136	104	20	52	313	5	2	0	300	
7	136	104	20	483	948	5	3	1	300	
7	136	104	20	586	930	5	4	1	300	
8	110	76	30	611	979	5	1	1	300	
8	110	76	30	929	1388	5	2	1	300	
8	110	76	30	639	1030	5	3	1	300	
8	110	76	30	125	597	5	4	0	300	
9	131	228	20	0	1496	5	1	1	0	
9	131	228	20	0	1496	5	2	1	0	
9	131	228	20	0	1496	5	3	1	0	
9	131	228	20	0	1496	5	4	1	0	
10	4	149	30	0	1496	5	1	1	0	
10	4	149	30	0	1496	5	2	1	0	
10	4	149	30	0	1496	5	3	1	0	
10	4	149	30	0	1496	5	4	1	0	
11	137	150	50	0	1496	5	1	1	0	
11	137	150	50	0	1496	5	2	1	0	
11	137	150	50	0	1496	5	3	1	0	
11	137	150	50	0	1496	5	4	1	0	
12	229	217	40	0	1496	5	1	1	0	
12	229	217	40	0	1496	5	2	1	0	
12	229	217	40	0	1496	5	3	1	0	
12	229	217	40	0	1496	5	4	1	0	
13	282	137	40	0	1496	5	1	1	0	
13	282	137	40	0	1496	5	2	1	0	
13	282	137	40	0	1496	5	3	1	0	
13	282	137	40	0	1496	5	4	1	0	
14	53	232	60	0	1496	5	1	1	0	
14	53	232	60	0	1496	5	2	1	0	
14	53	232	60	0	1496	5	3	1	0	
14	53	232	60	0	1496	5	4	1	0	
15	289	225	50	0	1496	5	1	1	0	
15	289	225	50	0	1496	5	2	1	0	
15	289	225	50	0	1496	5	3	1	0	
15	289	225	50	0	1496	5	4	1	0	
16	177	225	10	0	1496	5	1	1	0	
16	177	225	10	0	1496	5	2	1	0	
16	177	225	10	0	1496	5	3	1	0	
16	177	225	10	0	1496	5	4	1	0	
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
