c1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
4	500	2	7	3	4	100	1	2	5	12	4	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
1	107	71	20	427	692	5	1	1	300	
1	107	71	20	745	1113	5	2	1	300	
1	107	71	20	852	1111	5	3	1	300	
1	107	71	20	356	805	5	4	1	300	
2	134	146	10	454	908	5	1	0	300	
2	134	146	10	825	1101	5	2	1	300	
2	134	146	10	568	822	5	3	0	300	
2	134	146	10	763	1037	5	4	1	300	
3	55	62	20	549	824	5	1	1	300	
3	55	62	20	294	736	5	2	0	300	
3	55	62	20	273	530	5	3	1	300	
3	55	62	20	136	593	5	4	1	300	
4	154	266	40	172	447	5	1	1	300	
4	154	266	40	452	901	5	2	0	300	
4	154	266	40	496	951	5	3	1	300	
4	154	266	40	531	793	5	4	0	300	
5	222	73	20	642	1103	5	1	1	300	
5	222	73	20	162	511	5	2	1	300	
5	222	73	20	248	726	5	3	1	300	
5	222	73	20	200	653	5	4	0	300	
6	67	230	10	536	900	5	1	1	300	
6	67	230	10	709	984	5	2	0	300	
6	67	230	10	611	1082	5	3	1	300	
6	67	230	10	540	1015	5	4	0	300	
7	257	58	10	398	638	5	1	1	300	
7	257	58	10	773	1114	5	2	0	300	
7	257	58	10	210	467	5	3	1	300	
7	257	58	10	756	1123	5	4	1	300	
8	140	140	30	82	429	5	1	1	300	
8	140	140	30	580	947	5	2	0	300	
8	140	140	30	757	1017	5	3	1	300	
8	140	140	30	31	480	5	4	0	300	
9	23	107	10	644	1086	5	1	1	300	
9	23	107	10	422	779	5	2	0	300	
9	23	107	10	609	949	5	3	1	300	
9	23	107	10	489	958	5	4	1	300	
10	206	129	10	868	1119	5	1	1	300	
10	206	129	10	184	553	5	2	1	300	
10	206	129	10	660	907	5	3	1	300	
10	206	129	10	290	538	5	4	1	300	
11	161	94	20	57	519	5	1	1	300	
11	161	94	20	779	1142	5	2	0	300	
11	161	94	20	846	1198	5	3	1	300	
11	161	94	20	513	857	5	4	0	300	
12	64	55	20	282	738	5	1	1	300	
12	64	55	20	668	921	5	2	1	300	
12	64	55	20	338	710	5	3	1	300	
12	64	55	20	872	1245	5	4	0	300	
13	174	71	20	0	1496	5	1	1	0	
13	174	71	20	0	1496	5	2	1	0	
13	174	71	20	0	1496	5	3	1	0	
13	174	71	20	0	1496	5	4	1	0	
14	178	10	70	0	1496	5	1	1	0	
14	178	10	70	0	1496	5	2	1	0	
14	178	10	70	0	1496	5	3	1	0	
14	178	10	70	0	1496	5	4	1	0	
15	65	4	30	0	1496	5	1	1	0	
15	65	4	30	0	1496	5	2	1	0	
15	65	4	30	0	1496	5	3	1	0	
15	65	4	30	0	1496	5	4	1	0	
16	218	20	20	0	1496	5	1	1	0	
16	218	20	20	0	1496	5	2	1	0	
16	218	20	20	0	1496	5	3	1	0	
16	218	20	20	0	1496	5	4	1	0	
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
