c1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
6	500	2	7	3	6	100	1	2	5	12	12	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
1	287	128	30	384	844	5	1	1	480	
1	287	128	30	819	1271	5	2	0	480	
1	287	128	30	602	1051	5	3	1	480	
1	287	128	30	659	1020	5	4	0	480	
2	275	100	30	375	647	5	1	1	407	
2	275	100	30	680	1138	5	2	1	407	
2	275	100	30	750	1105	5	3	0	407	
2	275	100	30	426	686	5	4	1	407	
3	169	235	10	333	584	5	1	0	437	
3	169	235	10	143	595	5	2	1	437	
3	169	235	10	301	770	5	3	1	437	
3	169	235	10	633	1095	5	4	1	437	
4	227	214	20	100	544	5	1	0	419	
4	227	214	20	523	889	5	2	1	419	
4	227	214	20	323	695	5	3	0	419	
4	227	214	20	554	793	5	4	1	419	
5	58	231	10	122	397	5	1	0	449	
5	58	231	10	640	905	5	2	1	449	
5	58	231	10	748	1191	5	3	0	449	
5	58	231	10	387	736	5	4	1	449	
6	282	134	30	192	659	5	1	1	387	
6	282	134	30	486	960	5	2	0	387	
6	282	134	30	473	813	5	3	1	387	
6	282	134	30	630	1087	5	4	0	387	
7	212	62	20	726	982	5	1	1	358	
7	212	62	20	461	817	5	2	0	358	
7	212	62	20	91	350	5	3	1	358	
7	212	62	20	759	1014	5	4	0	358	
8	52	288	20	433	675	5	1	1	496	
8	52	288	20	481	832	5	2	0	496	
8	52	288	20	107	467	5	3	1	496	
8	52	288	20	359	727	5	4	1	496	
9	154	26	20	452	727	5	1	1	520	
9	154	26	20	126	471	5	2	1	520	
9	154	26	20	604	1073	5	3	0	520	
9	154	26	20	911	1168	5	4	1	520	
10	22	97	20	649	1131	5	1	1	396	
10	22	97	20	838	1104	5	2	0	396	
10	22	97	20	134	602	5	3	1	396	
10	22	97	20	777	1024	5	4	0	396	
11	26	99	10	293	538	5	1	1	344	
11	26	99	10	118	570	5	2	0	344	
11	26	99	10	827	1182	5	3	1	344	
11	26	99	10	219	672	5	4	1	344	
12	227	26	20	145	505	5	1	1	302	
12	227	26	20	508	766	5	2	0	302	
12	227	26	20	722	1084	5	3	1	302	
12	227	26	20	761	1027	5	4	1	302	
13	63	7	40	0	1496	5	1	1	0	
13	63	7	40	0	1496	5	2	1	0	
13	63	7	40	0	1496	5	3	1	0	
13	63	7	40	0	1496	5	4	1	0	
14	211	157	40	0	1496	5	1	1	0	
14	211	157	40	0	1496	5	2	1	0	
14	211	157	40	0	1496	5	3	1	0	
14	211	157	40	0	1496	5	4	1	0	
15	269	35	40	0	1496	5	1	1	0	
15	269	35	40	0	1496	5	2	1	0	
15	269	35	40	0	1496	5	3	1	0	
15	269	35	40	0	1496	5	4	1	0	
16	62	53	10	0	1496	5	1	1	0	
16	62	53	10	0	1496	5	2	1	0	
16	62	53	10	0	1496	5	3	1	0	
16	62	53	10	0	1496	5	4	1	0	
17	281	130	30	0	1496	5	1	1	0	
17	281	130	30	0	1496	5	2	1	0	
17	281	130	30	0	1496	5	3	1	0	
17	281	130	30	0	1496	5	4	1	0	
18	131	95	40	0	1496	5	1	1	0	
18	131	95	40	0	1496	5	2	1	0	
18	131	95	40	0	1496	5	3	1	0	
18	131	95	40	0	1496	5	4	1	0	
19	29	152	30	0	1496	5	1	1	0	
19	29	152	30	0	1496	5	2	1	0	
19	29	152	30	0	1496	5	3	1	0	
19	29	152	30	0	1496	5	4	1	0	
20	74	113	70	0	1496	5	1	1	0	
20	74	113	70	0	1496	5	2	1	0	
20	74	113	70	0	1496	5	3	1	0	
20	74	113	70	0	1496	5	4	1	0	
21	145	182	40	0	1496	5	1	1	0	
21	145	182	40	0	1496	5	2	1	0	
21	145	182	40	0	1496	5	3	1	0	
21	145	182	40	0	1496	5	4	1	0	
22	84	236	20	0	1496	5	1	1	0	
22	84	236	20	0	1496	5	2	1	0	
22	84	236	20	0	1496	5	3	1	0	
22	84	236	20	0	1496	5	4	1	0	
23	102	235	70	0	1496	5	1	1	0	
23	102	235	70	0	1496	5	2	1	0	
23	102	235	70	0	1496	5	3	1	0	
23	102	235	70	0	1496	5	4	1	0	
24	49	234	40	0	1496	5	1	1	0	
24	49	234	40	0	1496	5	2	1	0	
24	49	234	40	0	1496	5	3	1	0	
24	49	234	40	0	1496	5	4	1	0	
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
