r1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
25	500	2	7	3	25	100	1	2	5	50	50	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1206	0	1	1	0
0	150	150	0	0	1206	0	2	1	0
0	150	150	0	0	1206	0	3	1	0
0	150	150	0	0	1206	0	4	1	0
1	161	242	30	486	896	5	1	1	300	
1	161	242	30	672	882	5	2	0	300	
1	161	242	30	443	753	5	3	1	300	
1	161	242	30	112	422	5	4	0	300	
2	125	168	27	677	887	5	1	1	300	
2	125	168	27	698	908	5	2	0	300	
2	125	168	27	404	714	5	3	1	300	
2	125	168	27	522	932	5	4	1	300	
3	263	291	2	197	407	5	1	0	300	
3	263	291	2	554	764	5	2	1	300	
3	263	291	2	688	1098	5	3	1	300	
3	263	291	2	143	553	5	4	0	300	
4	129	77	11	648	958	5	1	1	300	
4	129	77	11	848	1158	5	2	0	300	
4	129	77	11	131	441	5	3	1	300	
4	129	77	11	157	367	5	4	0	300	
5	183	23	26	584	994	5	1	1	300	
5	183	23	26	500	710	5	2	1	300	
5	183	23	26	234	444	5	3	0	300	
5	183	23	26	604	814	5	4	1	300	
6	64	91	29	109	519	5	1	1	300	
6	64	91	29	346	756	5	2	0	300	
6	64	91	29	608	918	5	3	1	300	
6	64	91	29	576	886	5	4	1	300	
7	37	159	7	126	436	5	1	0	300	
7	37	159	7	618	828	5	2	1	300	
7	37	159	7	33	443	5	3	1	300	
7	37	159	7	464	874	5	4	0	300	
8	18	196	8	442	652	5	1	1	300	
8	18	196	8	181	491	5	2	0	300	
8	18	196	8	349	759	5	3	1	300	
8	18	196	8	205	415	5	4	1	300	
9	15	88	12	354	564	5	1	1	300	
9	15	88	12	470	780	5	2	1	300	
9	15	88	12	403	813	5	3	0	300	
9	15	88	12	384	794	5	4	1	300	
10	275	263	33	177	587	5	1	1	300	
10	275	263	33	382	792	5	2	1	300	
10	275	263	33	616	1026	5	3	1	300	
10	275	263	33	506	916	5	4	1	300	
11	170	93	39	486	796	5	1	0	300	
11	170	93	39	468	878	5	2	1	300	
11	170	93	39	324	634	5	3	0	300	
11	170	93	39	382	692	5	4	1	300	
12	139	110	21	569	879	5	1	0	300	
12	139	110	21	101	311	5	2	1	300	
12	139	110	21	501	811	5	3	1	300	
12	139	110	21	259	469	5	4	1	300	
13	157	84	19	110	320	5	1	0	300	
13	157	84	19	144	354	5	2	1	300	
13	157	84	19	405	815	5	3	0	300	
13	157	84	19	584	894	5	4	1	300	
14	133	153	32	17	327	5	1	1	300	
14	133	153	32	40	350	5	2	0	300	
14	133	153	32	356	566	5	3	1	300	
14	133	153	32	576	886	5	4	0	300	
15	133	187	16	678	1088	5	1	1	300	
15	133	187	16	382	592	5	2	1	300	
15	133	187	16	11	221	5	3	0	300	
15	133	187	16	573	783	5	4	1	300	
16	15	178	9	578	788	5	1	0	300	
16	15	178	9	422	732	5	2	1	300	
16	15	178	9	515	925	5	3	1	300	
16	15	178	9	390	600	5	4	0	300	
17	198	100	25	97	407	5	1	1	300	
17	198	100	25	350	760	5	2	0	300	
17	198	100	25	507	717	5	3	1	300	
17	198	100	25	579	989	5	4	1	300	
18	8	227	33	187	497	5	1	0	300	
18	8	227	33	417	827	5	2	1	300	
18	8	227	33	620	1030	5	3	1	300	
18	8	227	33	276	686	5	4	0	300	
19	220	43	28	445	655	5	1	1	300	
19	220	43	28	395	805	5	2	1	300	
19	220	43	28	533	743	5	3	1	300	
19	220	43	28	83	493	5	4	1	300	
20	117	155	22	718	1028	5	1	0	300	
20	117	155	22	301	711	5	2	1	300	
20	117	155	22	618	828	5	3	1	300	
20	117	155	22	160	470	5	4	1	300	
21	148	172	25	22	332	5	1	0	300	
21	148	172	25	643	953	5	2	1	300	
21	148	172	25	13	423	5	3	1	300	
21	148	172	25	39	249	5	4	0	300	
22	127	77	11	640	850	5	1	1	300	
22	127	77	11	3	413	5	2	0	300	
22	127	77	11	163	473	5	3	1	300	
22	127	77	11	631	841	5	4	1	300	
23	167	193	29	833	1043	5	1	0	300	
23	167	193	29	526	936	5	2	1	300	
23	167	193	29	592	802	5	3	0	300	
23	167	193	29	829	1039	5	4	1	300	
24	31	68	27	508	818	5	1	1	300	
24	31	68	27	362	672	5	2	1	300	
24	31	68	27	603	913	5	3	0	300	
24	31	68	27	511	921	5	4	1	300	
25	88	110	1	644	854	5	1	1	300	
25	88	110	1	178	488	5	2	0	300	
25	88	110	1	308	718	5	3	1	300	
25	88	110	1	485	695	5	4	0	300	
26	239	84	17	594	904	5	1	1	300	
26	239	84	17	137	547	5	2	0	300	
26	239	84	17	681	891	5	3	1	300	
26	239	84	17	452	862	5	4	1	300	
27	186	26	25	575	985	5	1	1	300	
27	186	26	25	650	860	5	2	0	300	
27	186	26	25	223	633	5	3	1	300	
27	186	26	25	786	996	5	4	0	300	
28	238	294	22	229	439	5	1	1	300	
28	238	294	22	489	799	5	2	1	300	
28	238	294	22	387	597	5	3	0	300	
28	238	294	22	647	857	5	4	1	300	
29	157	221	10	421	731	5	1	0	300	
29	157	221	10	386	796	5	2	1	300	
29	157	221	10	429	739	5	3	1	300	
29	157	221	10	407	817	5	4	0	300	
30	213	299	22	548	758	5	1	1	300	
30	213	299	22	166	476	5	2	1	300	
30	213	299	22	597	1007	5	3	1	300	
30	213	299	22	419	729	5	4	0	300	
31	51	2	41	227	437	5	1	1	300	
31	51	2	41	12	322	5	2	0	300	
31	51	2	41	198	608	5	3	1	300	
31	51	2	41	676	1086	5	4	0	300	
32	116	240	17	535	745	5	1	1	300	
32	116	240	17	416	726	5	2	0	300	
32	116	240	17	548	958	5	3	1	300	
32	116	240	17	251	661	5	4	0	300	
33	203	166	20	700	1010	5	1	1	300	
33	203	166	20	749	959	5	2	0	300	
33	203	166	20	620	930	5	3	1	300	
33	203	166	20	300	510	5	4	1	300	
34	57	127	20	356	566	5	1	0	300	
34	57	127	20	535	945	5	2	1	300	
34	57	127	20	72	482	5	3	1	300	
34	57	127	20	525	935	5	4	1	300	
35	9	239	20	326	536	5	1	0	300	
35	9	239	20	206	616	5	2	1	300	
35	9	239	20	432	742	5	3	1	300	
35	9	239	20	222	432	5	4	0	300	
36	248	41	11	479	789	5	1	1	300	
36	248	41	11	53	463	5	2	1	300	
36	248	41	11	655	865	5	3	1	300	
36	248	41	11	554	864	5	4	1	300	
37	5	189	5	156	366	5	1	0	300	
37	5	189	5	162	572	5	2	1	300	
37	5	189	5	281	691	5	3	1	300	
37	5	189	5	265	675	5	4	1	300	
38	1	145	6	149	559	5	1	0	300	
38	1	145	6	415	725	5	2	1	300	
38	1	145	6	634	1044	5	3	1	300	
38	1	145	6	507	717	5	4	1	300	
39	255	203	32	340	750	5	1	1	300	
39	255	203	32	484	694	5	2	1	300	
39	255	203	32	527	837	5	3	1	300	
39	255	203	32	44	454	5	4	1	300	
40	266	203	6	650	860	5	1	0	300	
40	266	203	6	48	258	5	2	1	300	
40	266	203	6	227	437	5	3	1	300	
40	266	203	6	315	725	5	4	0	300	
41	12	275	18	522	832	5	1	1	300	
41	12	275	18	696	1006	5	2	1	300	
41	12	275	18	308	718	5	3	0	300	
41	12	275	18	681	991	5	4	1	300	
42	228	217	32	677	887	5	1	1	300	
42	228	217	32	648	1058	5	2	0	300	
42	228	217	32	113	423	5	3	1	300	
42	228	217	32	680	1090	5	4	0	300	
43	76	221	24	430	740	5	1	1	300	
43	76	221	24	487	797	5	2	0	300	
43	76	221	24	343	753	5	3	1	300	
43	76	221	24	629	939	5	4	0	300	
44	57	192	33	693	903	5	1	1	300	
44	57	192	33	53	263	5	2	1	300	
44	57	192	33	592	902	5	3	1	300	
44	57	192	33	39	349	5	4	1	300	
45	208	297	8	419	829	5	1	0	300	
45	208	297	8	472	782	5	2	1	300	
45	208	297	8	359	769	5	3	1	300	
45	208	297	8	551	761	5	4	0	300	
