c1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
3	500	2	7	3	3	100	1	2	5	6	6	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
1	257	133	20	448	701	5	1	1	300	
1	257	133	20	306	563	5	2	1	300	
1	257	133	20	230	697	5	3	1	300	
1	257	133	20	528	778	5	4	0	300	
2	137	229	10	227	711	5	1	1	300	
2	137	229	10	254	629	5	2	1	300	
2	137	229	10	555	1011	5	3	0	300	
2	137	229	10	439	702	5	4	1	300	
3	100	231	20	915	1369	5	1	0	300	
3	100	231	20	860	1206	5	2	1	300	
3	100	231	20	174	529	5	3	1	300	
3	100	231	20	166	618	5	4	0	300	
4	8	155	10	858	1319	5	1	1	300	
4	8	155	10	921	1183	5	2	0	300	
4	8	155	10	766	1230	5	3	1	300	
4	8	155	10	545	1017	5	4	1	300	
5	238	69	20	549	905	5	1	1	300	
5	238	69	20	757	1216	5	2	1	300	
5	238	69	20	405	784	5	3	0	300	
5	238	69	20	138	374	5	4	1	300	
6	59	223	20	914	1177	5	1	0	300	
6	59	223	20	231	596	5	2	1	300	
6	59	223	20	637	1003	5	3	1	300	
6	59	223	20	811	1082	5	4	0	300	
7	261	212	70	0	1496	5	1	1	0	
7	261	212	70	0	1496	5	2	1	0	
7	261	212	70	0	1496	5	3	1	0	
7	261	212	70	0	1496	5	4	1	0	
8	60	156	50	0	1496	5	1	1	0	
8	60	156	50	0	1496	5	2	1	0	
8	60	156	50	0	1496	5	3	1	0	
8	60	156	50	0	1496	5	4	1	0	
9	163	200	20	0	1496	5	1	1	0	
9	163	200	20	0	1496	5	2	1	0	
9	163	200	20	0	1496	5	3	1	0	
9	163	200	20	0	1496	5	4	1	0	
10	63	155	60	0	1496	5	1	1	0	
10	63	155	60	0	1496	5	2	1	0	
10	63	155	60	0	1496	5	3	1	0	
10	63	155	60	0	1496	5	4	1	0	
11	278	43	60	0	1496	5	1	1	0	
11	278	43	60	0	1496	5	2	1	0	
11	278	43	60	0	1496	5	3	1	0	
11	278	43	60	0	1496	5	4	1	0	
12	175	12	40	0	1496	5	1	1	0	
12	175	12	40	0	1496	5	2	1	0	
12	175	12	40	0	1496	5	3	1	0	
12	175	12	40	0	1496	5	4	1	0	
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
