c2_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
2	500	2	7	3	2	100	1	2	5	4	4	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
1	248	45	20	2075	2235	5	1	1	300	
1	248	45	20	1971	2131	5	2	1	300	
1	248	45	20	3248	3408	5	3	1	300	
1	248	45	20	3100	3260	5	4	1	300	
2	253	198	20	810	970	5	1	1	300	
2	253	198	20	959	1119	5	2	1	300	
2	253	198	20	1247	1407	5	3	0	300	
2	253	198	20	1766	1926	5	4	1	300	
3	243	35	10	2458	2618	5	1	0	300	
3	243	35	10	419	579	5	2	1	300	
3	243	35	10	1326	1486	5	3	1	300	
3	243	35	10	1175	1335	5	4	0	300	
4	279	44	10	638	798	5	1	1	300	
4	279	44	10	514	674	5	2	0	300	
4	279	44	10	1649	1809	5	3	1	300	
4	279	44	10	3148	3308	5	4	1	300	
5	272	21	20	0	3815	5	1	1	0	
5	272	21	20	0	3815	5	2	1	0	
5	272	21	20	0	3815	5	3	1	0	
5	272	21	20	0	3815	5	4	1	0	
6	50	104	50	0	3815	5	1	1	0	
6	50	104	50	0	3815	5	2	1	0	
6	50	104	50	0	3815	5	3	1	0	
6	50	104	50	0	3815	5	4	1	0	
7	141	210	60	0	3815	5	1	1	0	
7	141	210	60	0	3815	5	2	1	0	
7	141	210	60	0	3815	5	3	1	0	
7	141	210	60	0	3815	5	4	1	0	
8	117	262	40	0	3815	5	1	1	0	
8	117	262	40	0	3815	5	2	1	0	
8	117	262	40	0	3815	5	3	1	0	
8	117	262	40	0	3815	5	4	1	0	
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
