c2_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
3	500	2	7	3	3	100	1	2	5	4	8	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
1	182	233	20	2437	2597	5	1	1	300	
1	182	233	20	94	254	5	2	1	300	
1	182	233	20	540	700	5	3	1	300	
1	182	233	20	1726	1886	5	4	0	300	
2	140	231	20	92	252	5	1	1	300	
2	140	231	20	1141	1301	5	2	0	300	
2	140	231	20	110	270	5	3	1	300	
2	140	231	20	420	580	5	4	0	300	
3	261	39	20	2980	3140	5	1	1	300	
3	261	39	20	1874	2034	5	2	0	300	
3	261	39	20	2479	2639	5	3	1	300	
3	261	39	20	2296	2456	5	4	0	300	
4	135	23	10	3361	3521	5	1	1	300	
4	135	23	10	320	480	5	2	1	300	
4	135	23	10	1793	1953	5	3	1	300	
4	135	23	10	1745	1905	5	4	0	300	
5	75	28	50	0	3815	5	1	1	0	
5	75	28	50	0	3815	5	2	1	0	
5	75	28	50	0	3815	5	3	1	0	
5	75	28	50	0	3815	5	4	1	0	
6	179	62	50	0	3815	5	1	1	0	
6	179	62	50	0	3815	5	2	1	0	
6	179	62	50	0	3815	5	3	1	0	
6	179	62	50	0	3815	5	4	1	0	
7	207	201	70	0	3815	5	1	1	0	
7	207	201	70	0	3815	5	2	1	0	
7	207	201	70	0	3815	5	3	1	0	
7	207	201	70	0	3815	5	4	1	0	
8	67	237	10	0	3815	5	1	1	0	
8	67	237	10	0	3815	5	2	1	0	
8	67	237	10	0	3815	5	3	1	0	
8	67	237	10	0	3815	5	4	1	0	
9	97	10	50	0	3815	5	1	1	0	
9	97	10	50	0	3815	5	2	1	0	
9	97	10	50	0	3815	5	3	1	0	
9	97	10	50	0	3815	5	4	1	0	
10	103	35	50	0	3815	5	1	1	0	
10	103	35	50	0	3815	5	2	1	0	
10	103	35	50	0	3815	5	3	1	0	
10	103	35	50	0	3815	5	4	1	0	
11	74	109	50	0	3815	5	1	1	0	
11	74	109	50	0	3815	5	2	1	0	
11	74	109	50	0	3815	5	3	1	0	
11	74	109	50	0	3815	5	4	1	0	
12	237	203	40	0	3815	5	1	1	0	
12	237	203	40	0	3815	5	2	1	0	
12	237	203	40	0	3815	5	3	1	0	
12	237	203	40	0	3815	5	4	1	0	
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
