c2_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
5	500	2	7	3	5	100	1	2	5	10	10	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
1	222	196	10	1456	1616	5	1	1	300	
1	222	196	10	1771	1931	5	2	1	300	
1	222	196	10	1754	1914	5	3	0	300	
1	222	196	10	3055	3215	5	4	1	300	
2	271	32	20	2319	2479	5	1	0	300	
2	271	32	20	1954	2114	5	2	1	300	
2	271	32	20	1118	1278	5	3	1	300	
2	271	32	20	389	549	5	4	1	300	
3	50	80	20	3403	3563	5	1	0	300	
3	50	80	20	2389	2549	5	2	1	300	
3	50	80	20	2636	2796	5	3	1	300	
3	50	80	20	2412	2572	5	4	1	300	
4	122	24	20	700	860	5	1	0	300	
4	122	24	20	150	310	5	2	1	300	
4	122	24	20	204	364	5	3	1	300	
4	122	24	20	643	803	5	4	0	300	
5	252	50	30	1797	1957	5	1	1	300	
5	252	50	30	1900	2060	5	2	0	300	
5	252	50	30	1750	1910	5	3	1	300	
5	252	50	30	2876	3036	5	4	1	300	
6	182	245	20	1471	1631	5	1	1	300	
6	182	245	20	2759	2919	5	2	0	300	
6	182	245	20	2571	2731	5	3	1	300	
6	182	245	20	2593	2753	5	4	1	300	
7	270	25	10	2029	2189	5	1	0	300	
7	270	25	10	552	712	5	2	1	300	
7	270	25	10	1837	1997	5	3	1	300	
7	270	25	10	2846	3006	5	4	1	300	
8	178	127	10	825	985	5	1	1	300	
8	178	127	10	2360	2520	5	2	0	300	
8	178	127	10	514	674	5	3	1	300	
8	178	127	10	3351	3511	5	4	1	300	
9	18	151	30	1588	1748	5	1	1	300	
9	18	151	30	941	1101	5	2	1	300	
9	18	151	30	2520	2680	5	3	1	300	
9	18	151	30	392	552	5	4	0	300	
10	96	13	20	1605	1765	5	1	1	300	
10	96	13	20	505	665	5	2	0	300	
10	96	13	20	2265	2425	5	3	1	300	
10	96	13	20	3008	3168	5	4	1	300	
11	246	187	30	0	3815	5	1	1	0	
11	246	187	30	0	3815	5	2	1	0	
11	246	187	30	0	3815	5	3	1	0	
11	246	187	30	0	3815	5	4	1	0	
12	248	255	60	0	3815	5	1	1	0	
12	248	255	60	0	3815	5	2	1	0	
12	248	255	60	0	3815	5	3	1	0	
12	248	255	60	0	3815	5	4	1	0	
13	266	33	40	0	3815	5	1	1	0	
13	266	33	40	0	3815	5	2	1	0	
13	266	33	40	0	3815	5	3	1	0	
13	266	33	40	0	3815	5	4	1	0	
14	180	227	30	0	3815	5	1	1	0	
14	180	227	30	0	3815	5	2	1	0	
14	180	227	30	0	3815	5	3	1	0	
14	180	227	30	0	3815	5	4	1	0	
15	256	197	30	0	3815	5	1	1	0	
15	256	197	30	0	3815	5	2	1	0	
15	256	197	30	0	3815	5	3	1	0	
15	256	197	30	0	3815	5	4	1	0	
16	43	153	70	0	3815	5	1	1	0	
16	43	153	70	0	3815	5	2	1	0	
16	43	153	70	0	3815	5	3	1	0	
16	43	153	70	0	3815	5	4	1	0	
17	28	147	40	0	3815	5	1	1	0	
17	28	147	40	0	3815	5	2	1	0	
17	28	147	40	0	3815	5	3	1	0	
17	28	147	40	0	3815	5	4	1	0	
18	231	236	40	0	3815	5	1	1	0	
18	231	236	40	0	3815	5	2	1	0	
18	231	236	40	0	3815	5	3	1	0	
18	231	236	40	0	3815	5	4	1	0	
19	178	118	60	0	3815	5	1	1	0	
19	178	118	60	0	3815	5	2	1	0	
19	178	118	60	0	3815	5	3	1	0	
19	178	118	60	0	3815	5	4	1	0	
20	104	15	30	0	3815	5	1	1	0	
20	104	15	30	0	3815	5	2	1	0	
20	104	15	30	0	3815	5	3	1	0	
20	104	15	30	0	3815	5	4	1	0	
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
