c2_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
4	500	2	7	3	4	100	1	2	5	12	4	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
1	150	16	30	3162	3322	5	1	1	300	
1	150	16	30	611	771	5	2	1	300	
1	150	16	30	219	379	5	3	1	300	
1	150	16	30	1147	1307	5	4	1	300	
2	96	6	10	1804	1964	5	1	0	300	
2	96	6	10	1549	1709	5	2	1	300	
2	96	6	10	44	204	5	3	0	300	
2	96	6	10	460	620	5	4	1	300	
3	61	232	20	1860	2020	5	1	1	300	
3	61	232	20	1954	2114	5	2	0	300	
3	61	232	20	146	306	5	3	1	300	
3	61	232	20	1024	1184	5	4	0	300	
4	64	134	10	674	834	5	1	1	300	
4	64	134	10	2322	2482	5	2	0	300	
4	64	134	10	75	235	5	3	1	300	
4	64	134	10	193	353	5	4	0	300	
5	204	189	20	271	431	5	1	1	300	
5	204	189	20	264	424	5	2	1	300	
5	204	189	20	1559	1719	5	3	1	300	
5	204	189	20	371	531	5	4	0	300	
6	236	213	10	1688	1848	5	1	1	300	
6	236	213	10	2476	2636	5	2	0	300	
6	236	213	10	1495	1655	5	3	1	300	
6	236	213	10	2792	2952	5	4	1	300	
7	258	44	30	1605	1765	5	1	1	300	
7	258	44	30	1751	1911	5	2	0	300	
7	258	44	30	2484	2644	5	3	1	300	
7	258	44	30	973	1133	5	4	1	300	
8	57	40	10	833	993	5	1	1	300	
8	57	40	10	116	276	5	2	1	300	
8	57	40	10	260	420	5	3	1	300	
8	57	40	10	2926	3086	5	4	1	300	
9	182	144	20	1742	1902	5	1	0	300	
9	182	144	20	582	742	5	2	1	300	
9	182	144	20	1554	1714	5	3	1	300	
9	182	144	20	3460	3620	5	4	0	300	
10	59	110	30	762	922	5	1	1	300	
10	59	110	30	1210	1370	5	2	1	300	
10	59	110	30	2344	2504	5	3	0	300	
10	59	110	30	2221	2381	5	4	1	300	
11	161	62	20	1752	1912	5	1	0	300	
11	161	62	20	2440	2600	5	2	1	300	
11	161	62	20	2766	2926	5	3	0	300	
11	161	62	20	2584	2744	5	4	1	300	
12	101	31	30	1368	1528	5	1	0	300	
12	101	31	30	2891	3051	5	2	1	300	
12	101	31	30	2961	3121	5	3	1	300	
12	101	31	30	498	658	5	4	0	300	
13	177	132	70	0	3815	5	1	1	0	
13	177	132	70	0	3815	5	2	1	0	
13	177	132	70	0	3815	5	3	1	0	
13	177	132	70	0	3815	5	4	1	0	
14	42	240	40	0	3815	5	1	1	0	
14	42	240	40	0	3815	5	2	1	0	
14	42	240	40	0	3815	5	3	1	0	
14	42	240	40	0	3815	5	4	1	0	
15	223	177	20	0	3815	5	1	1	0	
15	223	177	20	0	3815	5	2	1	0	
15	223	177	20	0	3815	5	3	1	0	
15	223	177	20	0	3815	5	4	1	0	
16	143	236	40	0	3815	5	1	1	0	
16	143	236	40	0	3815	5	2	1	0	
16	143	236	40	0	3815	5	3	1	0	
16	143	236	40	0	3815	5	4	1	0	
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
