c2_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
3	500	2	7	3	3	100	1	2	5	8	4	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
1	48	36	10	1217	1377	5	1	1	300	
1	48	36	10	1199	1359	5	2	0	300	
1	48	36	10	2747	2907	5	3	1	300	
1	48	36	10	1571	1731	5	4	1	300	
2	23	144	10	1107	1267	5	1	1	300	
2	23	144	10	1040	1200	5	2	1	300	
2	23	144	10	59	219	5	3	0	300	
2	23	144	10	108	268	5	4	1	300	
3	56	117	30	1335	1495	5	1	0	300	
3	56	117	30	623	783	5	2	1	300	
3	56	117	30	926	1086	5	3	1	300	
3	56	117	30	2951	3111	5	4	0	300	
4	248	48	10	1891	2051	5	1	1	300	
4	248	48	10	2725	2885	5	2	0	300	
4	248	48	10	2720	2880	5	3	1	300	
4	248	48	10	1643	1803	5	4	1	300	
5	203	217	10	288	448	5	1	0	300	
5	203	217	10	365	525	5	2	1	300	
5	203	217	10	2666	2826	5	3	0	300	
5	203	217	10	1139	1299	5	4	1	300	
6	183	140	10	1836	1996	5	1	1	300	
6	183	140	10	2548	2708	5	2	0	300	
6	183	140	10	3021	3181	5	3	1	300	
6	183	140	10	790	950	5	4	0	300	
7	32	128	20	140	300	5	1	1	300	
7	32	128	20	2281	2441	5	2	0	300	
7	32	128	20	766	926	5	3	1	300	
7	32	128	20	1926	2086	5	4	0	300	
8	255	64	30	896	1056	5	1	1	300	
8	255	64	30	2606	2766	5	2	1	300	
8	255	64	30	1404	1564	5	3	0	300	
8	255	64	30	908	1068	5	4	1	300	
9	172	146	50	0	3815	5	1	1	0	
9	172	146	50	0	3815	5	2	1	0	
9	172	146	50	0	3815	5	3	1	0	
9	172	146	50	0	3815	5	4	1	0	
10	256	15	30	0	3815	5	1	1	0	
10	256	15	30	0	3815	5	2	1	0	
10	256	15	30	0	3815	5	3	1	0	
10	256	15	30	0	3815	5	4	1	0	
11	244	251	30	0	3815	5	1	1	0	
11	244	251	30	0	3815	5	2	1	0	
11	244	251	30	0	3815	5	3	1	0	
11	244	251	30	0	3815	5	4	1	0	
12	81	223	20	0	3815	5	1	1	0	
12	81	223	20	0	3815	5	2	1	0	
12	81	223	20	0	3815	5	3	1	0	
12	81	223	20	0	3815	5	4	1	0	
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
