c2_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
3	500	2	7	3	3	100	1	2	5	6	6	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
1	269	257	10	1557	1717	5	1	1	300	
1	269	257	10	1436	1596	5	2	0	300	
1	269	257	10	1085	1245	5	3	1	300	
1	269	257	10	863	1023	5	4	0	300	
2	193	194	30	166	326	5	1	1	300	
2	193	194	30	2191	2351	5	2	0	300	
2	193	194	30	2528	2688	5	3	1	300	
2	193	194	30	2823	2983	5	4	1	300	
3	57	119	20	1243	1403	5	1	1	300	
3	57	119	20	1285	1445	5	2	0	300	
3	57	119	20	1181	1341	5	3	1	300	
3	57	119	20	2029	2189	5	4	0	300	
4	196	129	20	1024	1184	5	1	1	300	
4	196	129	20	2653	2813	5	2	0	300	
4	196	129	20	776	936	5	3	1	300	
4	196	129	20	256	416	5	4	0	300	
5	268	43	10	1299	1459	5	1	1	300	
5	268	43	10	967	1127	5	2	0	300	
5	268	43	10	2031	2191	5	3	1	300	
5	268	43	10	2160	2320	5	4	0	300	
6	72	234	10	2142	2302	5	1	1	300	
6	72	234	10	1869	2029	5	2	0	300	
6	72	234	10	2675	2835	5	3	1	300	
6	72	234	10	335	495	5	4	0	300	
7	242	205	70	0	3815	5	1	1	0	
7	242	205	70	0	3815	5	2	1	0	
7	242	205	70	0	3815	5	3	1	0	
7	242	205	70	0	3815	5	4	1	0	
8	65	217	20	0	3815	5	1	1	0	
8	65	217	20	0	3815	5	2	1	0	
8	65	217	20	0	3815	5	3	1	0	
8	65	217	20	0	3815	5	4	1	0	
9	196	158	40	0	3815	5	1	1	0	
9	196	158	40	0	3815	5	2	1	0	
9	196	158	40	0	3815	5	3	1	0	
9	196	158	40	0	3815	5	4	1	0	
10	20	146	30	0	3815	5	1	1	0	
10	20	146	30	0	3815	5	2	1	0	
10	20	146	30	0	3815	5	3	1	0	
10	20	146	30	0	3815	5	4	1	0	
11	229	217	30	0	3815	5	1	1	0	
11	229	217	30	0	3815	5	2	1	0	
11	229	217	30	0	3815	5	3	1	0	
11	229	217	30	0	3815	5	4	1	0	
12	225	70	10	0	3815	5	1	1	0	
12	225	70	10	0	3815	5	2	1	0	
12	225	70	10	0	3815	5	3	1	0	
12	225	70	10	0	3815	5	4	1	0	
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
