c1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
4	500	2	7	3	4	100	1	2	5	4	4	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
1	17	205	20	306	355	5	1	1	300	
1	17	205	20	562	629	5	2	0	300	
1	17	205	20	253	319	5	3	0	300	
1	17	205	20	672	732	5	4	1	300	
2	121	260	10	358	414	5	1	1	300	
2	121	260	10	233	297	5	2	1	300	
2	121	260	10	163	210	5	3	1	300	
2	121	260	10	913	974	5	4	1	300	
3	105	230	10	91	155	5	1	0	300	
3	105	230	10	106	155	5	2	1	300	
3	105	230	10	1115	1184	5	3	0	300	
3	105	230	10	629	696	5	4	1	300	
4	143	111	20	39	100	5	1	1	300	
4	143	111	20	626	680	5	2	0	300	
4	143	111	20	470	537	5	3	0	300	
4	143	111	20	286	353	5	4	1	300	
5	166	105	70	0	1496	5	1	1	0	
5	166	105	70	0	1496	5	2	1	0	
5	166	105	70	0	1496	5	3	1	0	
5	166	105	70	0	1496	5	4	1	0	
6	161	210	10	0	1496	5	1	1	0	
6	161	210	10	0	1496	5	2	1	0	
6	161	210	10	0	1496	5	3	1	0	
6	161	210	10	0	1496	5	4	1	0	
7	256	239	10	0	1496	5	1	1	0	
7	256	239	10	0	1496	5	2	1	0	
7	256	239	10	0	1496	5	3	1	0	
7	256	239	10	0	1496	5	4	1	0	
8	251	241	40	0	1496	5	1	1	0	
8	251	241	40	0	1496	5	2	1	0	
8	251	241	40	0	1496	5	3	1	0	
8	251	241	40	0	1496	5	4	1	0	
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
