c2_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
6	500	2	7	3	6	100	1	2	5	12	12	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
1	188	244	10	1191	1351	5	1	1	300	
1	188	244	10	1261	1421	5	2	0	300	
1	188	244	10	1939	2099	5	3	1	300	
1	188	244	10	1062	1222	5	4	1	300	
2	58	161	30	2428	2588	5	1	0	300	
2	58	161	30	1302	1462	5	2	1	300	
2	58	161	30	843	1003	5	3	0	300	
2	58	161	30	1400	1560	5	4	1	300	
3	87	112	10	2844	3004	5	1	1	300	
3	87	112	10	2238	2398	5	2	0	300	
3	87	112	10	840	1000	5	3	1	300	
3	87	112	10	1969	2129	5	4	0	300	
4	99	53	20	124	284	5	1	1	300	
4	99	53	20	1139	1299	5	2	0	300	
4	99	53	20	2509	2669	5	3	1	300	
4	99	53	20	95	255	5	4	1	300	
5	132	253	10	2960	3120	5	1	0	300	
5	132	253	10	2129	2289	5	2	1	300	
5	132	253	10	726	886	5	3	1	300	
5	132	253	10	2939	3099	5	4	1	300	
6	149	130	10	20	180	5	1	0	300	
6	149	130	10	912	1072	5	2	1	300	
6	149	130	10	583	743	5	3	0	300	
6	149	130	10	126	286	5	4	1	300	
7	295	254	40	1338	1498	5	1	0	300	
7	295	254	40	183	343	5	2	1	300	
7	295	254	40	2743	2903	5	3	1	300	
7	295	254	40	1997	2157	5	4	0	300	
8	168	237	30	2054	2214	5	1	1	300	
8	168	237	30	2950	3110	5	2	0	300	
8	168	237	30	2538	2698	5	3	1	300	
8	168	237	30	1467	1627	5	4	0	300	
9	41	63	20	2819	2979	5	1	1	300	
9	41	63	20	1271	1431	5	2	1	300	
9	41	63	20	1532	1692	5	3	1	300	
9	41	63	20	1853	2013	5	4	1	300	
10	43	155	20	2321	2481	5	1	0	300	
10	43	155	20	1941	2101	5	2	1	300	
10	43	155	20	1747	1907	5	3	1	300	
10	43	155	20	920	1080	5	4	1	300	
11	259	235	10	429	589	5	1	0	300	
11	259	235	10	1701	1861	5	2	1	300	
11	259	235	10	2904	3064	5	3	0	300	
11	259	235	10	2792	2952	5	4	1	300	
12	196	194	20	443	603	5	1	1	300	
12	196	194	20	703	863	5	2	1	300	
12	196	194	20	2869	3029	5	3	1	300	
12	196	194	20	107	267	5	4	1	300	
13	215	168	50	0	3815	5	1	1	0	
13	215	168	50	0	3815	5	2	1	0	
13	215	168	50	0	3815	5	3	1	0	
13	215	168	50	0	3815	5	4	1	0	
14	75	85	40	0	3815	5	1	1	0	
14	75	85	40	0	3815	5	2	1	0	
14	75	85	40	0	3815	5	3	1	0	
14	75	85	40	0	3815	5	4	1	0	
15	89	24	30	0	3815	5	1	1	0	
15	89	24	30	0	3815	5	2	1	0	
15	89	24	30	0	3815	5	3	1	0	
15	89	24	30	0	3815	5	4	1	0	
16	251	180	50	0	3815	5	1	1	0	
16	251	180	50	0	3815	5	2	1	0	
16	251	180	50	0	3815	5	3	1	0	
16	251	180	50	0	3815	5	4	1	0	
17	176	232	20	0	3815	5	1	1	0	
17	176	232	20	0	3815	5	2	1	0	
17	176	232	20	0	3815	5	3	1	0	
17	176	232	20	0	3815	5	4	1	0	
18	70	131	40	0	3815	5	1	1	0	
18	70	131	40	0	3815	5	2	1	0	
18	70	131	40	0	3815	5	3	1	0	
18	70	131	40	0	3815	5	4	1	0	
19	220	187	30	0	3815	5	1	1	0	
19	220	187	30	0	3815	5	2	1	0	
19	220	187	30	0	3815	5	3	1	0	
19	220	187	30	0	3815	5	4	1	0	
20	229	186	70	0	3815	5	1	1	0	
20	229	186	70	0	3815	5	2	1	0	
20	229	186	70	0	3815	5	3	1	0	
20	229	186	70	0	3815	5	4	1	0	
21	223	204	50	0	3815	5	1	1	0	
21	223	204	50	0	3815	5	2	1	0	
21	223	204	50	0	3815	5	3	1	0	
21	223	204	50	0	3815	5	4	1	0	
22	150	240	50	0	3815	5	1	1	0	
22	150	240	50	0	3815	5	2	1	0	
22	150	240	50	0	3815	5	3	1	0	
22	150	240	50	0	3815	5	4	1	0	
23	284	12	30	0	3815	5	1	1	0	
23	284	12	30	0	3815	5	2	1	0	
23	284	12	30	0	3815	5	3	1	0	
23	284	12	30	0	3815	5	4	1	0	
24	196	192	40	0	3815	5	1	1	0	
24	196	192	40	0	3815	5	2	1	0	
24	196	192	40	0	3815	5	3	1	0	
24	196	192	40	0	3815	5	4	1	0	
0	150	150	0	0	3815	0	1	1	0
0	150	150	0	0	3815	0	2	1	0
0	150	150	0	0	3815	0	3	1	0
0	150	150	0	0	3815	0	4	1	0
