c1_6_1

VEHICLE_1			COST	COST	COST	VEHICLE_2			COST	COST	COST			
NUMBER	CAPACITY_1	OPER_1	PENAL_1	IDLE_1	NUMBER	CAPACITY_2	OPER_2	PENAL_2	IDLE_2	HOME	E_BIN	PERIOD_NUM
3	500	2	7	3	3	100	1	2	5	8	4	4

ID	X	Y	D	LB	UB	S	K	A
CUST_NO.	XCOORD.	YCOORD.	DEMAND	READY_TIME	DUE_DATE	SERVICE_TIME	PERIODS	AVAILABILITY	CUS_PAY
 
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
1	33	283	10	881	1346	5	1	1	300	
1	33	283	10	646	1003	5	2	1	300	
1	33	283	10	286	650	5	3	0	300	
1	33	283	10	115	581	5	4	1	300	
2	106	237	20	538	974	5	1	1	300	
2	106	237	20	196	660	5	2	1	300	
2	106	237	20	577	827	5	3	1	300	
2	106	237	20	319	563	5	4	0	300	
3	82	34	20	830	1094	5	1	1	300	
3	82	34	20	28	293	5	2	1	300	
3	82	34	20	83	357	5	3	1	300	
3	82	34	20	826	1269	5	4	1	300	
4	13	265	20	178	646	5	1	1	300	
4	13	265	20	95	559	5	2	1	300	
4	13	265	20	864	1332	5	3	0	300	
4	13	265	20	628	881	5	4	1	300	
5	33	285	10	789	1254	5	1	0	300	
5	33	285	10	506	855	5	2	1	300	
5	33	285	10	552	813	5	3	1	300	
5	33	285	10	561	824	5	4	0	300	
6	31	145	30	646	919	5	1	1	300	
6	31	145	30	183	462	5	2	1	300	
6	31	145	30	395	657	5	3	0	300	
6	31	145	30	688	1152	5	4	1	300	
7	9	145	30	475	737	5	1	1	300	
7	9	145	30	288	546	5	2	1	300	
7	9	145	30	534	1000	5	3	0	300	
7	9	145	30	494	946	5	4	1	300	
8	161	112	10	39	488	5	1	0	300	
8	161	112	10	476	745	5	2	1	300	
8	161	112	10	498	746	5	3	1	300	
8	161	112	10	629	990	5	4	0	300	
9	168	108	40	0	1496	5	1	1	0	
9	168	108	40	0	1496	5	2	1	0	
9	168	108	40	0	1496	5	3	1	0	
9	168	108	40	0	1496	5	4	1	0	
10	141	100	10	0	1496	5	1	1	0	
10	141	100	10	0	1496	5	2	1	0	
10	141	100	10	0	1496	5	3	1	0	
10	141	100	10	0	1496	5	4	1	0	
11	174	79	50	0	1496	5	1	1	0	
11	174	79	50	0	1496	5	2	1	0	
11	174	79	50	0	1496	5	3	1	0	
11	174	79	50	0	1496	5	4	1	0	
12	160	107	40	0	1496	5	1	1	0	
12	160	107	40	0	1496	5	2	1	0	
12	160	107	40	0	1496	5	3	1	0	
12	160	107	40	0	1496	5	4	1	0	
0	150	150	0	0	1496	0	1	1	0
0	150	150	0	0	1496	0	2	1	0
0	150	150	0	0	1496	0	3	1	0
0	150	150	0	0	1496	0	4	1	0
